name,country,industry,grade_latest,action_type,filings_searched,filing_dates,writedown_usd_mn,sale_price_usd_mn,all_amounts_mn,filing_urls,edgar_search_url,status
Conformis,United States,Health Care,B,suspended,0,,,,,,https://www.sec.gov/edgar/search/#/q=Conformis%20Russia%20impairment%20write&dateRange=custom&category=custom&startdt=2022-01-01&enddt=2024-12-31&forms=10-K%2C20-F,no_cik_in_hits
Corteva,United States,Consumer Staples,A,other,0,,,,,,https://www.sec.gov/edgar/search/#/q=Corteva%20Russia%20impairment%20write&dateRange=custom&category=custom&startdt=2022-01-01&enddt=2024-12-31&forms=10-K%2C20-F,no_cik_in_hits
Costco,United States,Consumer Discretionary,B,suspended,0,,,,,,https://www.sec.gov/edgar/search/#/q=Costco%20Russia%20impairment%20write&dateRange=custom&category=custom&startdt=2022-01-01&enddt=2024-12-31&forms=10-K%2C20-F,no_cik_in_hits
Coty,United States,Consumer Staples,A,sold,0,,,,,,https://www.sec.gov/edgar/search/#/q=Coty%20Russia%20impairment%20write&dateRange=custom&category=custom&startdt=2022-01-01&enddt=2024-12-31&forms=10-K%2C20-F,no_cik_in_hits
Coupa,United States,Information Technology,B,suspended,0,,,,,,https://www.sec.gov/edgar/search/#/q=Coupa%20Russia%20impairment%20write&dateRange=custom&category=custom&startdt=2022-01-01&enddt=2024-12-31&forms=10-K%2C20-F,no_cik_in_hits
Coursera,United States,Consumer Discretionary,B,suspended,0,,,,,,https://www.sec.gov/edgar/search/#/q=Coursera%20Russia%20impairment%20write&dateRange=custom&category=custom&startdt=2022-01-01&enddt=2024-12-31&forms=10-K%2C20-F,no_cik_in_hits
Crocs,United States,Consumer Discretionary,B,suspended,0,,,,,,https://www.sec.gov/edgar/search/#/q=Crocs%20Russia%20impairment%20write&dateRange=custom&category=custom&startdt=2022-01-01&enddt=2024-12-31&forms=10-K%2C20-F,no_cik_in_hits
Cummins,United States,Industrials,A,other,0,,,,,,https://www.sec.gov/edgar/search/#/q=Cummins%20Russia%20impairment%20write&dateRange=custom&category=custom&startdt=2022-01-01&enddt=2024-12-31&forms=10-K%2C20-F,no_cik_in_hits
Cushman &amp; Wakefield,United States,Real Estate,A,other,0,,,,,,https://www.sec.gov/edgar/search/#/q=Cushman%20%26amp%3B%20Wakefield%20Russia%20impairment%20write&dateRange=custom&category=custom&startdt=2022-01-01&enddt=2024-12-31&forms=10-K%2C20-F,efts_error:500 Server Error: Internal Server Error for url: https://efts.sec.gov/LATEST/search-index?q=%22Cushman+%26amp%3B+Wakefield%22+Russia+impairment&forms=10-K%2C20-F&dateRange=custom&startdt=2022-01-01&enddt=2024-12-31
DDB,United States,Materials,A,other,0,,,,,,https://www.sec.gov/edgar/search/#/q=DDB%20Russia%20impairment%20write&dateRange=custom&category=custom&startdt=2022-01-01&enddt=2024-12-31&forms=10-K%2C20-F,no_cik_in_hits
DLA Piper,United States,Industrials,A,sold,0,,,,,,https://www.sec.gov/edgar/search/#/q=DLA%20Piper%20Russia%20impairment%20write&dateRange=custom&category=custom&startdt=2022-01-01&enddt=2024-12-31&forms=10-K%2C20-F,efts_error:500 Server Error: Internal Server Error for url: https://efts.sec.gov/LATEST/search-index?q=%22DLA+Piper%22+Russia+impairment&forms=10-K%2C20-F&dateRange=custom&startdt=2022-01-01&enddt=2024-12-31
DXC Technology,United States,Information Technology,A,other,0,,,,,,https://www.sec.gov/edgar/search/#/q=DXC%20Technology%20Russia%20impairment%20write&dateRange=custom&category=custom&startdt=2022-01-01&enddt=2024-12-31&forms=10-K%2C20-F,no_cik_in_hits
Danaher,United States,Health Care,B,suspended,0,,,,,,https://www.sec.gov/edgar/search/#/q=Danaher%20Russia%20impairment%20write&dateRange=custom&category=custom&startdt=2022-01-01&enddt=2024-12-31&forms=10-K%2C20-F,no_cik_in_hits
Debevoise &amp; Plimpton,United States,Industrials,B,sold,0,,,,,,https://www.sec.gov/edgar/search/#/q=Debevoise%20%26amp%3B%20Plimpton%20Russia%20impairment%20write&dateRange=custom&category=custom&startdt=2022-01-01&enddt=2024-12-31&forms=10-K%2C20-F,no_efts_results
Dechert,United States,Industrials,A,other,0,,,,,,https://www.sec.gov/edgar/search/#/q=Dechert%20Russia%20impairment%20write&dateRange=custom&category=custom&startdt=2022-01-01&enddt=2024-12-31&forms=10-K%2C20-F,no_cik_in_hits
Deckers,United States,Consumer Discretionary,B,suspended,0,,,,,,https://www.sec.gov/edgar/search/#/q=Deckers%20Russia%20impairment%20write&dateRange=custom&category=custom&startdt=2022-01-01&enddt=2024-12-31&forms=10-K%2C20-F,no_cik_in_hits
