name,country,industry,grade_latest,action_type,action_text,writedown_usd_mn,sale_price_usd_mn,book_value_pre_usd_mn,exit_year,exit_quarter,data_source,notes
Kearney,United States,Industrials,A,sold,officially withdrawn from Russia,,,,,,,
Kelly,United States,Industrials,A,other,leave Russia &amp; transition operations,,,,,,,
Kemira,Finland,Consumer Discretionary,A,sold,exit Russia completely,,,,,,,
Kennametal,United States,Industrials,A,sold,Completely exit Russia,,,,,,,
Kennedys,United States,Industrials,A,sold,Fully exit Russia,,,,,,,
Kesko,Finland,Consumer Staples,A,sold,Withdrawn all business,,,,,,,
Kiilto,Finland,Materials,A,sold,fully exited from Russia,,,,,,,
Kingspan,Ireland,Industrials,A,sold,exit Russia,,,,,,,
Kinross Gold,Canada,Materials,A,other,complete exit from Russia by selling Russian operations,,,,,,,
Knorr-Bremse,Germany,Industrials,A,other,will not deliver any more products or systems for Russian locomotives; end JVs,,,,,,,
Koch Industries,United States,Industrials,A,other,sell Russian business to a local enterprise,,,,,,,
Kofax,United States,Information Technology,A,other,curtail all sales of software and close sites in Russia,,,,,,,
Koskisen,Finland,Industrials,A,sold,Fully exit Russia after selling its operations,,,,,,,
Krispy Kreme,United States,Consumer Discretionary,A,sold,winding down business in Russia,,,,,,,
L'Occitane,France,Consumer Discretionary,A,other,exit Russian operations,,,,,,,
LVMH,France,Consumer Discretionary,A,other,end all operations in Russia,,,,,,,
Lamb Weston,United States,Consumer Staples,A,other,exit Russian market,,,,,,,
Latham &amp; Watkins,United States,Industrials,A,sold,wind down Russian presence,,,,,,,
Lear Corporation,United States,Consumer Discretionary,A,sold,fully exit Russia,,,,,,,
Legrand,France,Industrials,A,other,Left Russia,,,,,,,
Leica Camera AG,Germany,Information Technology,A,sold,Fully withdrawn from Russia,,,,,,,
Leptos Estates,Cyprus,Real Estate,A,other,Operations closed down in Russia,,,,,,,
Lifan,China,Consumer Discretionary,A,sold,Fully exit Russia,,,,,,,
Lincoln Electric,United States,Industrials,A,suspended,ceased all operations,,,,,,,
Lindab,Sweden,Industrials,A,sold,Fully exit Russia after selling its operations,,,,,,,
Lindstrom Group,Finland,Consumer Discretionary,A,sold,Withdrew from Russia,,,,,,,
Lindt-Sprungli,Switzerland,Consumer Staples,A,suspended,suspend operations in Russia,,,,,,,
Linklaters,United Kingdom,Industrials,A,other,"end operations in Russia, with entities connected to the Russian state; local partners and counsel form own firm",,,,,,,
Lloyd's Register,United Kingdom,Industrials,A,sold,withdraw services to Russia,,,,,,,
Logitech,Switzerland,Information Technology,A,suspended,suspend shipments to Russia,,,,,,,
